bennythump 1.000000 0.707000 6 440.000000 0.307000 0 110.000000 1.000000 1.000000 0.000000 0.100000 0.000000 2.000000 1.000000 29.000000 0.100000 0.000000 100.000000 1.000000 1.000000 290.000000 0.100000 0.000000 100.000000 6 180.000000 0.707000
bassdeeplo 1.000000 0.300000 6 440.000000 0.307000 0 90.000000 1.000000 1.000000 0.000000 0.100000 0.000000 2.000000 1.000000 460.000000 0.100000 0.000000 100.000000 1.000000 1.000000 300.000000 0.700000 0.000000 100.000000 6 180.000000 0.707000
lofihaus 1.000000 0.500000 6 440.000000 0.100000 0 110.000000 1.000000 2.000000 0.000000 0.100000 0.000000 1.000000 1.000000 60.000000 0.100000 0.000000 100.000000 1.000000 1.000000 250.000000 0.100000 0.000000 100.000000 6 180.000000 1.000000
hats 0.500000 0.707000 6 440.000000 0.700000 6 110.000000 1.000000 1.000000 0.000000 0.240000 0.000000 100.000000 1.000000 60.000000 0.100000 0.000000 100.000000 1.000000 1.000000 250.000000 0.100000 0.000000 100.000000 6 180.000000 0.707000
oop 0.600000 0.707000 5 440.000000 0.700000 0 94.000000 0.000000 1.000000 0.000000 0.700000 0.000000 100.000000 1.000000 60.000000 0.100000 132.000000 100.000000 1.000000 1.000000 1.000000 1.000000 220.000000 1.000000 6 180.000000 0.707000
clip 0.600000 0.707000 7 440.000000 0.700000 0 94.000000 0.000000 1.000000 0.000000 0.700000 0.000000 100.000000 1.000000 60.000000 0.100000 132.000000 100.000000 1.000000 1.000000 1.000000 1.000000 220.000000 1.000000 6 180.000000 0.707000
lazer 1.000000 0.707000 6 440.000000 0.000000 0 45.000000 1.000000 1.000000 0.000000 0.100000 0.000000 100.000000 1.000000 400.000000 0.100000 0.000000 300.000000 1.000000 1.000000 250.000000 1.000000 44100.000000 300.000000 3 180.000000 0.707000
deepazer 0.200000 0.707000 6 440.000000 0.000000 0 45.000000 1.000000 1.000000 0.000000 0.100000 0.000000 100.000000 1.000000 400.000000 0.100000 0.000000 300.000000 1.000000 1.000000 250.000000 1.000000 44100.000000 300.000000 7 1800.000000 0.707000
phatty 0.600000 0.707000 6 440.000000 0.307000 0 66.000000 1.000000 1.000000 0.000000 0.100000 0.000000 100.000000 1.000000 60.000000 0.100000 0.000000 100.000000 1.000000 1.000000 250.000000 0.100000 22050.000000 100.000000 6 180.000000 0.707000
snarey 0.600000 0.300000 6 440.000000 0.700000 2 200.000000 1.000000 1.000000 50.000000 0.100000 0.000000 100.000000 1.000000 60.000000 0.100000 2205.000000 100.000000 1.000000 1.000000 200.000000 0.100000 0.000000 100.000000 6 180.000000 0.707000
openhat 0.600000 0.707000 6 1500.000000 0.600000 0 94.000000 0.000000 1.000000 100.000000 0.100000 0.000000 100.000000 1.000000 60.000000 0.100000 0.000000 100.000000 1.000000 1.000000 250.000000 0.100000 0.000000 100.000000 6 180.000000 0.707000
snarz 0.600000 0.200000 6 1200.000000 1.000000 3 200.000000 0.800000 1.000000 200.000000 0.100000 0.000000 200.000000 1.000000 60.000000 2.000000 0.000000 100.000000 0.700000 1.000000 300.000000 0.700000 441.000000 100.000000 6 180.000000 0.707000
